,Fixed Assets (t),Cash (t),Debtors (t),Current Liabilities (t),Working Capital (t),Current Assets (t),Capital Employed (t),Shareholders's Funds (t),Turnover (t),Cost of Sales (t),Gross profit (t),Administrative Expenses (t),Operating profit (t),Interest payable (t),Profit before tax (t),Tax (t),Profit after tax (t),Fixed Assets (t-1),Cash (t-1),Debtors (t-1),Current Liabilities (t-1),Working Capital (t-1),Current Assets (t-1),Capital Employed (t-1),Shareholders's Funds (t-1),Turnover (t-1),Cost of Sales (t-1),Gross profit (t-1),Administrative Expenses (t-1),Operating profit (t-1),Interest payable (t-1),Profit before tax (t-1),Tax (t-1),Profit after tax (t-1),Firm Reg
20400000,,1112000,-278000,834000,834000,21234000,18979000,980,,,0,610,-73,537,0,539,20110000,,873000,-288000,585000,585000,20695000,18440000,861,,,-9,589,-63,526,1921,2447,04017775
971000,3936000,188398000,-192993000,-720000,192340000,251000,-1555000,11654000,-2607000,9047000,-9678000,-2436000,6407000,-2715000,,-2715000,1243000,4802000,153764000,-158037000,451000,158575000,1694000,1160000,13163000,-3886000,9277000,-10698000,-1853000,12042000,6345000,,6345000,04301212
,2960,0,-471143,-471143,2956,,-468183,,,-186981,-186981,-186981,-15164,-202145,0,-202145,,21856,8500,-296394,-296394,30356,,-266038,,,-264267,-264267,-264267,-2581,-266848,0,-266848,10482063
12715324,176887,13616294,-22227387,-2054742,20172645,10660582,10241757,37281953,-20334629,16947324,-23275027,653272,233,-1210279,,-523431,21102636,2870337,1210773,-6414947,3723933,10138880,24826569,11115188,23762068,-11840455,11921613,-11634549,428868,313,1924093,,1534153,03806750
1936663,35726,,,-178852,271106,1757811,1757811,2417509,-2187794,191098,-161726,29372,,,,29372,1928958,38194,,,-200519,228378,1728439,1728439,2315272,-2060612,239320,-192150,47170,,,,47170,05515075
2860729,833060,3539367,12873440,1423026,1423026,,3921240,40272234,20482112,19790122,17523759,125000,,2391363,448518,1942845,2763939,762705,7681308,15726071,2938849,2938849,,5478395,38746692,19536933,19209759,16333710,0,,2876049,524211,2351838,06976293
,,43027,148057,0,0,0,,0,-103174,-3070,,100104,0,71043,0,,,,0,0,-54407,-54407,-50403,,0,-180740,44389,,225129,14,-85266,-1468,,03622969
