,Fixed Assets (t),Cash (t),Debtors (t),Current Liabilities (t),Working Capital (t),Current Assets (t),Capital Employed (t),Shareholders's Funds (t),Turnover (t),Cost of Sales (t),Gross profit (t),Administrative Expenses (t),Operating profit (t),Interest payable (t),Profit before tax (t),Tax (t),Profit after tax (t),Fixed Assets (t-1),Cash (t-1),Debtors (t-1),Current Liabilities (t-1),Working Capital (t-1),Current Assets (t-1),Capital Employed (t-1),Shareholders's Funds (t-1),Turnover (t-1),Cost of Sales (t-1),Gross profit (t-1),Administrative Expenses (t-1),Operating profit (t-1),Interest payable (t-1),Profit before tax (t-1),Tax (t-1),Profit after tax (t-1),Firm Reg
76580,1397314,0,-11178428,1529938,12708366,1606518,1586938,38536512,-34537509,3999003,-2795219,1214020,-29538,1186413,39602,1226015,100904,842955,0,-6087600,806262,6893862,907166,862193,30032392,-26479616,3552776,-2644758,1022547,-6710,1016378,-248709,767669,6551179
0,14470,3126348,-4391128,-1250310,3140818,,-1250310,,,-175007,-175007,-175007,-128,-175135,0,-175135,0,26578,1035221,-2136974,-1075175,1061799,,-1075175,,,-186634,-186634,-186634,-103,-186737,0,-186737,4287057
20000,0,4317000,-39800000,-35483000,-35483000,-35463000,-210402000,,0,0,-49865000,-56892000,-4174000,-61066000,0,-61066000,49891000,0,5216000,-29835000,-24619000,-24619000,25272000,-149336000,,108000,108000,-11649000,-19607000,-7217000,-26824000,1389000,-25435000,6798895
20400000,0,1112000,-278000,834000,834000,21234000,18979000,1960988820,,,0,1220615490,-146073657,1074541833,0,1078543851,20110000,0,873000,-288000,585000,585000,20695000,18440000,1722868749,,,-18009081,1178594301,-126063567,1052530734,3843938289,4896469023,4017775
12400000,0,686000,4433000,-3747000,686000,8653000,-1712000,3968000,-3954000,14000,-686000,-672000,-369000,-1041000,0,-1041000,939000,0,1383000,1944000,-561000,1383000,378000,378000,3233000,-1539000,1694000,-480000,1214000,-6000,1208000,0,1208000,10698659
4307000,0,76000,1234000,-1158000,76000,3149000,-1448000,498000,-663000,-165000,-169000,-334000,-133000,-467000,0,-467000,48000,0,172000,724000,-552000,172000,-504000,-504000,124000,-508000,-384000,-116000,-500000,-4000,-504000,0,-504000,10831152
0,0,1310000,1347000,-37000,1310000,-37000,-37000,2,0,0,0,0,0,4,5,0,0,0,0,0,0,0,,1000,2194,1974,220,257,0,0,-37,0,-37,9955158
13264000,0,428000,2242000,-1814000,428000,11450000,-2608000,1967000,-2068000,-101000,-318000,-419000,-397000,-816000,0,-816000,802000,0,671000,2672000,-2001000,671000,-1199000,-1199000,604000,-1433000,-829000,-342000,-1171000,-28000,-1199000,0,-1199000,10831261
274000,0,62000,5750000,-5688000,62000,-5414000,-5557000,1480000,-3447000,-1967000,-243000,-2210000,-226000,-2436000,0,-2436000,0,0,1084000,6014000,-4930000,1084000,-4930000,-4930000,2528000,-3641000,-1113000,-502000,-1615000,-162000,-1777000,0,-1777000,6955648
0,0,0,0,0,0,0,-2,0,0,0,0,1,0,0,0,0,0,0,2534,-2534,0,2534,0,0,0,0,0,0,11759,0,11759,0,11759,3127114
1889000,0,1115000,2048000,-933000,1115000,956000,-703000,1227000,-1208000,19000,-243000,-224000,-109000,-333000,0,-333000,0,0,847000,2158000,-1311000,847000,-136000,-136000,1409000,-1135000,274000,-266000,8000,-45000,-37000,0,-37000,10422106
0,1792890,4664174,-45850,6411214,6457064,,6411214,0,,-20615,-21542,-20615,0,117829,-33600,84229,0,1237044,4737645,-157955,6326985,6484940,,6326985,0,,-15900,-15900,-15900,0,-150,-498,-648,3902703
0,104204,1612766,914460,802510,1716970,802510,802510,584721,,,216351,389891,30,389875,85100,304775,0,13254,639023,154542,497735,652277,497735,497735,399606,,,17011,382595,17,382597,89710,292887,5649075
0,10015,28454,21554,16915,38469,16915,16915,146106,123514,22592,22284,308,-21,287,-106,181,0,2447,37461,23176,16732,39908,16732,16732,238521,196902,41619,24626,16993,-7,16986,-3567,13419,2890858
0,44074,195437,-99179,140332,239511,,140332,738953,,,-646721,92232,-552,91883,-13762,78121,0,75693,100388,-113870,62211,176081,,62211,719590,,,-629916,89674,-395,89625,-6416,83209,6255775
0,0,314000,2443000,-2129000,314000,-2129000,-2129000,777000,911000,-134000,84000,-218000,-65000,-283000,0,-283000,1000,0,321000,2168000,-1847000,321000,-1846000,-1846000,993000,1054000,-61000,202000,-263000,-58000,-321000,0,-321000,6954854
0,62647,50,-62597,100,62697,100,100,7163,,,-7163,0,0,0,0,0,0,178208,200228,-378336,100,378436,100,100,1537590,,,-34135,1503455,-3,351015,-338523,12492,7141376
0,0,12352000,-29000,12323000,12352000,12323000,12323000,0,0,-29000,,-29000,0,-29000,0,-29000,0,4000,12364000,-16000,12352000,12368000,12352000,12352000,0,0,-43000,,-43000,0,-24000,0,-24000,95543
753000,0,363000,1466000,-1103000,363000,-350000,-776000,1636000,-1225000,411000,-286000,125000,-50000,75000,0,75000,1000,0,528000,1144000,-616000,528000,-615000,-615000,1623000,-1120000,503000,-285000,218000,-27000,191000,0,191000,7705535
0,2000,1174000,-7311000,-6135000,1176000,-6135000,-6135000,,,-3000,-3000,-3000,-13000,-82000,0,-82000,0,4000,86000,-6143000,-6053000,90000,-6053000,-6053000,,,0,0,0,-13000,-281000,0,-281000,5181808
7659,3583,0,-7912,107105,1064771213,114764,114764,51658,11175,40483,0,-12379,1189,-13568,0,-13568,32563,94243,0,-192469,95769,10858275369,128332,128332,769523,635459,134064,0,-153187,6875,-160062,0,-160062,704063
0,0,37000000,-3000000,34000000,37000000,34000000,34000000,1000000,0,1000000,-15000000,-14000000,-11000000,14000000,-8000000,6000000,0,89000000,3494000000,-1025000000,2558000000,3583000000,2558000000,2560000000,344000000,-210000000,134000000,-17000000,117000000,-6000000,2976000000,-562000000,2414000000,3332751
0,0,3301948,0,3301948,3301948,3301948,3301948,3,0,0,0,4,0,0,7,0,0,4421283,1174454,-2294909,3300828,5595737,3301948,3301948,5630538,-3300820,2329718,-1426316,903402,0,-1004192,111282,-892910,4815837
0,0,129000,-6000,123000,123000,123000,123000,,,-4000,0,-4000,0,2880000,0,2880000,0,0,191352000,-9000,191343000,191343000,319709000,43787000,,,-6000,0,-6000,0,4770000,0,4770000,OC348202
67741603,0,5612162,-200000,5412162,5412162,73153765,7116756,0,0,0,-50000,-50000,0,-50000,10500,-39500,67741603,0,5601662,-150000,5451662,5451662,73193265,7156256,0,0,0,-50000,-50000,0,-50000,11500,-38500,6326753
0,65877,111,93113,27125,65988,,27125,,,-36055,-12055,-36055,0,-36041,0,-36041,0,71571,170,134907,63166,71741,,63166,,,-13662,-13662,-13662,0,-13528,0,-13528,4201383
0,4735,9847443,-10137628,-142530,9995098,-142530,-142530,10990686,-10515330,475356,-217753,783837,-830975,-47138,0,-47138,0,56409,3928048,-4271862,-96392,4176470,-95392,-95392,8380466,-7425897,954569,-126307,531562,-626958,-95396,0,-95396,8306088
0,66000,89000,-306000,-151000,155000,-151000,-151000,519000,-372000,147000,-108000,,0,39000,0,39000,0,34000,101000,-325000,-190000,135000,-190000,-190000,629000,-453000,176000,-140000,,0,36000,0,36000,9726872
0,0,12220000,-6326000,5894000,12257000,5931000,5891000,10040000,,10040000,-9532000,508000,0,603000,-66000,537000,0,0,11869000,-6439000,5430000,11938000,5499000,5353000,10811000,,10811000,-10216000,595000,0,653000,-324000,329000,4079671
0,12724000,2132000,-162732000,-150897000,14856000,-150897000,-150897000,11000,-2377000,-2366000,-3332000,-5698000,0,-5532000,0,-5532000,0,34372000,20689000,-1104000,16978000,55061000,16978000,-145365000,13179000,-31237000,-18058000,-3292000,-21350000,0,-20828000,-448000,-21276000,2076042
0,0,0,-67934000,-79930000,91926000,11996000,11996000,0,,0,-166000,-166000,0,0,0,-166000,0,0,0,-67768000,-79930000,92092000,12162000,12162000,0,,0,0,0,0,0,0,0,3538262
0,2960,0,-471143,-471143,2960,,-468183,,,-186981,-186981,-186981,-15164,-202145,0,-202145,0,21856,8500,-296394,-296394,30356,,-266038,,,-264267,-264267,-264267,-2581,-266848,0,-266848,10482063
7938,0,34334,259185,-222530,36655,-214592,-141282,10000,0,10000,262373,-252373,-15,0,0,-214692,16815,0,595,614,20981,595,37796,38986,75789,78582,-2793,-27167,24374,-10014,0,0,37696,1578023
0,0,0,76765,76765,76765,76765,227049,16888257,-14529332,2358925,-219700,2160063,-145948,2014115,-382682,1631433,0,0,0,11845332,11845332,11845332,11845332,1595616,34479597,-25454279,9025318,-587120,8329351,-2497200,5844098,-1192027,4652071,10528443
0,0,10,21,0,0,0,0,0,,,0,5,7,0,8,0,0,13519491,9,54051578,13492898,13519590,13492898,13492898,0,,,55467,12314178,792,12314057,0,12314057,10537718
0,5643,6407530,-4815203,1597970,6413173,1597970,1597970,14268509,-13608701,659808,-1501627,25181,-117,25098,-31890,-6792,0,196712,5939870,-4531820,1604762,6136582,1604762,1604762,15488143,-14491872,996271,-961069,35202,-22,35180,-15276,19904,2039209
36,0,14,15,0,14,,0,3,0,0,,5,8,0,10,0,20543,0,2445,-9818,-7373,2445,,13170,9533,-3168,6365,,-7986,-48,-1669,-38,-1707,10344118
0,1161000,11320000,-8563000,5349000,1431000,5349000,4976000,26947,-23138,3809,-3453,-3453,-25,384,-99,285,0,1708000,10945000,-9286000,5217000,1850000,5217000,4691000,33418,-28637,4781,-4298,-4298,-6,541,-243,298,1182885
0,265000,1000,-582000,987000,1569000,987000,-7035000,5296000,-5065000,231000,-91000,140000,-232000,-91000,0,-91000,0,973000,1831000,-2807000,3767000,6574000,4707000,-6944000,16882000,-11526000,5356000,-163000,5193000,-585000,4608000,0,4608000,4508367
0,0,0,-1819000,-1819000,0,-1819000,-27664000,,,-38024000,-28000,-38024000,-2850000,-38524000,0,-38524000,12158000,0,23495000,-1298000,22197000,23495000,34355000,10860000,,,-15000,-15000,-15000,-2636000,-515000,0,-515000,9696984
102706000,117000,0,-12568000,-12451000,117000,90255000,90255000,,,-26000,-26000,-26000,-167000,4857000,0,4857000,87291000,387000,0,0,387000,387000,87678000,44883000,,,-65000,-65000,-65000,-2032000,4403000,0,4403000,9038049
0,10959,875632,-12499,1519092,645000,,1519092,199637,-190447,9190,-4047,5143,0,5143,0,5143,0,15258,719973,-21282,1513949,800000,,1513949,51727,-99864,-48137,-3886,-52023,0,-52023,0,-52023,4666848
0,0,7034,-6756,278,7034,,278,,,-7000,-7000,-7000,-129000,2000,0,2000,0,0,6914,-6638,276,6914,,276,,,-2000,-2000,-2000,-136000,8000,0,8000,6038076
0,133088,0,364,5694694,6651539,5694694,5694694,,,-85231,-85231,-85231,0,-85231,0,-85231,0,3874650,0,4001,5779925,6707639,5779925,5779925,,,-9458,-9458,-9458,0,-9198,0,-9198,5917564
0,0,0,-2007308,36289703,38297011,36289703,-45386476,2769064,-1707558,1061506,-560583,500923,-2531811,1214847,-113654,1101193,0,0,0,-1776458,37244720,39021178,37244720,-46487669,2561760,-1437679,1124081,-328561,795520,-2492008,2143054,-2674863,-531809,4289024
0,0,0,105,105,105,105,105,1,,-3467,,-3467,0,12810,-422965,-410155,0,0,0,115,115,115,115,115,434135,,-128519,,-128519,0,-119896,-300269,-420165,470886
68000,0,16854000,-12665000,4189000,4189000,4257000,4257000,0,,,,0,0,67000,-13000,54000,0,0,16720000,-12517000,4203000,4203000,4203000,4203000,0,,,,0,0,21000,-4000,17000,5630050
133959000,0,47064000,-46220000,17685000,63905000,23834000,7282000,45857000,-45630000,227000,,,0,,,-4675000,138916000,0,48865000,-38003000,27746000,65749000,35164000,17030000,50097000,-48396000,1701000,,,0,,,14389000,1455007
0,274000,2156000,-685000,1782000,2467000,1782000,1782000,4957000,-3467000,1490000,-1341000,149000,-90000,59000,-5000,54000,0,0,5681000,-4018000,1728000,5746000,1728000,1728000,4606000,-2898000,1708000,-1570000,138000,-46000,92000,32000,124000,9245661
0,0,40000000,-105900000,-65900000,-65900000,-65900000,-139784000,,,-139011000,,-139011000,-18352000,-141509000,65000,-141444000,1450000,0,161698000,-96749000,64949000,64949000,66399000,1660000,,,0,,0,-17052000,-2447000,1217000,-1230000,5976770
2082000,0,0,-7472000,15695000,23167000,17777000,17777000,34656000,-167000,34489000,-32133000,,0,2238000,-79000,2159000,365000,0,0,-7642000,14955000,22597000,15320000,14311000,53802000,-156000,53646000,-43391000,,0,2443000,-1221000,1222000,3730602
2186,0,0,-15567,-12487,44451503,-10301,-15569,26488,835,25653,23322,2331,328,2003,-19575,-17572,2791,0,0,-175710,-12887,11127083,-10096,-17572,16608,226,16382,17472,-1090,1720,-2630,-12312,-14942,1790808
0,0,29968,0,29968,29968,29968,28850,0,0,0,-239000,-239000,0,416000,-214000,202000,0,0,29900,-204,29696,29900,29696,28648,0,0,0,19000,19000,0,1501000,-441000,1060000,585987
0,0,10,0,101,10,10,10,0,,0,0,0,0,0,0,0,0,0,10495,0,10495,10495,10495,10495,546,,0,-546,0,-3535,9436,0,9436,585778
0,3000,3176000,1734000,1455000,3189000,1759000,1457000,413321000,-203770000,209551000,,5904000,-1066000,5494000,287000,5781000,0,493000,1309000,1141000,664000,1805000,1433000,1316000,282736000,-131446000,151290000,,12423000,-984000,11931000,-5863000,6068000,1945695
0,0,0,-119275,-119275,-119275,,-119275,0,,,3,0,0,0,6,0,0,12550,272615,-404440,-119275,-119275,,-119275,-79255,,,-347069,-426324,0,-354617,106385,-248232,4004845
2187624,2205829,0,-111725,964070,964070,,631805,3595313000,,3433830000,-3178112000,69324000,-20000,179148000,178877000,100271000,2412011,1719643,0,-110614,857181,857181,,469210,2407272000,,2262900000,-2165023000,49112000,-27000,156547000,-75385000,81162000,8225516
137444,0,74994,-164460,-71191,93269,66253,19864,1436913,-987052,449861,-374826,75035,-15811,,,42424,130400,0,39892,-154762,-107442,47320,22958,-22560,1438730,-1046125,392605,-407855,-15250,-15107,,,-28907,2112325
0,63515,2280482,151113,2192884,2343997,2192884,2192884,24449,,,48713,0,0,-24264,0,-24264,0,43945,2277020,103817,2217148,2320965,2217148,2217148,147873,,,44423,0,0,103450,0,103450,8260949
0,42228,2387782,12757,2486777,2499534,2486777,2486777,0,578095,-578095,84803,-662898,0,-661087,0,-661087,0,469509,736870,298197,908182,1206379,908182,908182,0,0,0,218320,-218320,0,-218320,0,-218320,8908947
0,46692,2796297,2842989,2679262,2842989,2679262,2679262,91199,0,91199,80783,0,0,10416,0,10416,0,18633,2794929,2813562,2668846,2813562,2668846,2668846,19281,-30658,49939,19209,0,0,30730,0,30730,8751101
0,55191,3746455,536846,3580340,4117186,3580340,3580340,0,1488667,-1488667,90663,-1579330,35471,-1614801,0,-1614801,0,942024,3904042,1110466,5195141,6305607,5195141,5195141,0,0,0,229405,-229405,0,-229405,0,-229405,8908944
0,63395,20123,4947251,2434069,2513182,2434069,2434069,18328,,0,-128332,0,0,-107154,0,-107154,0,88564,73868,5133319,2541223,2592096,2541223,2541223,25235,,0,-50889,0,0,-19228,0,-19228,8260708
3998035,0,5537871,-4656954,882917,5539871,4880952,4880952,897316,-356887,540429,-48481,491948,-50480,441468,0,441468,4004903,0,4882890,-4450309,434581,4884890,4439484,4439484,1012448,-338717,673731,-63001,610730,-37513,573217,6026,579243,3837423
8518857,0,8063497,-19967104,-11903607,-11903607,-3384750,-3384750,511077,-267226,243851,-525607,-281756,-599509,,0,-881265,15378063,0,8253009,-19638931,-11385922,-11385922,3992141,3992141,397644,-182006,215638,-21346,194292,-628289,,9780,-424217,6191678
3233728,0,4694128,-5026004,-328767,4697237,2904961,2904961,1319427,-452204,867223,-83994,783229,-1472,781757,0,781757,3216619,0,3730175,-1298651,2434280,3732931,5650899,5650899,1357217,-491249,865968,-106269,759699,-1197,758502,290593,1049095,4154320
0,3079978,9444499,-1399910,11444667,12844577,,11444667,0,0,0,-188186,-55311,0,-55311,908,-54403,0,3045798,0,-43441491,-40075593,3365898,,-40075593,3243995,-4455142,-1211147,-1748568,-2959715,0,-3401593,10874168,7472575,5346120
0,3989,4250,-124667,3123429,3248096,3123429,2993429,0,0,0,-120548,-120453,0,-132141,0,-132141,0,5000,14638,-1572325,3125570,4697895,3125570,3125570,25294,-1613,23681,-199762,-189073,0,599023,0,599023,165351
,0,48615,0,48615,48615,48615,48615,0,,,0,0,0,0,1,0,1022010,1710020,94201,-2498589,1001186,3499775,2023196,2023196,897955,,,-408475,489480,0,551543,-12648,538895,559455
5027000,4000,0,-4125000,451000,4576000,451000,-14214000,12929000,-6740000,6189000,-4228000,-3864000,-668000,-11052000,0,-11052000,-907000,0,0,-907000,-907000,0,-907000,-3162000,0,0,0,-8000,-8000,-114000,-122000,0,-122000,2673742
3108000,0,2353000,-20665000,-15574000,2738000,-5502000,-29910000,11474000,,-2370000,,-2370000,-1202000,-3572000,-341000,-3913000,2738000,0,3991000,-17390000,-8092000,5307000,1583000,-25997000,16819000,,-7238000,,-7238000,-816000,-8054000,-1448000,-9502000,801199
10935000,0,696000,3728000,-3032000,696000,7903000,-4058000,1793000,-2731000,-938000,-348000,-1286000,-473000,-1759000,0,-1759000,737000,0,732000,3107000,-2375000,732000,-1638000,-1638000,378000,-1833000,-1455000,-133000,-1588000,-50000,-1638000,0,-1638000,10831781
0,46755,504347,-407035,144067,551102,,144067,685305,-45977,639328,-547110,92218,-70771,21447,-8945,12502,0,29808,540244,-343487,226565,570052,,226565,1783507,-26337,1757170,-1111689,645481,-46620,599304,-150721,448583,9055160
0,0,495000,-5875000,3446000,5551000,8997000,8997000,16674000,-8322000,8352000,-8662000,-310000,-16000,-326000,-64000,-390000,0,1197000,559000,-4175000,4759000,4628000,9387000,9387000,15759000,-6823000,8936000,-7661000,1275000,-23000,1252000,-102000,1150000,2595358
0,8043,229790,1868432,-4702228,1768432,-4375104,-4375104,3246654,1221037,2025617,2795364,-197039,0,-197029,-53029,-144000,0,80041,217564,2030207,-4501922,2080207,-4178075,-4231104,3737359,1633838,2103521,3055440,-528643,0,-528507,53029,-581536,1307584
1138135,1033740,0,11623466,1667925,25346230332415,2806060,2760825,36001695,29949974,6051721,0,745502,27696,1225292,75853,1149439,1221975,903448,0,10642764,848067,15793308846095,2070042,1962336,30794406,24199920,6594486,0,1322701,31014,1291687,280814,1010873,1294330
