, CompanyNumber,CompanyName,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,numberPrevNameChanges,NumberOfIndustires,PrimaryIndustry
1931,06833261,BRUNO WIND (HOLDINGS) LIMITED,6.0,1.0,0.0,5.0,1,1,64209 - Activities of other holding companies n.e.c.
1932,03132794,BRUSH STROKES (FOUR OAKS) LIMITED,0.0,0.0,0.0,0.0,0,2,4543 - Floor and wall covering
1933,01388409,BRYANSTON INSURANCE COMPANY LIMITED,4.0,3.0,0.0,1.0,0,1,6603 - Non-life insurance/reinsurance
1934,SC150654,BS 1003 LIMITED,29.0,17.0,0.0,12.0,1,2,7012 - Buying & sell own real estate
1935,03293925,BSB CERAMICS LIMITED,0.0,0.0,0.0,0.0,0,1,4543 - Floor and wall covering
1936,00480402,BSC SHOPS (NO. 8) LIMITED,0.0,0.0,0.0,0.0,0,1,5142 - Wholesale of clothing and footwear
1937,02240475,BSCL REALISATIONS LIMITED,11.0,4.0,0.0,7.0,2,1,47789 - Other retail sale of new goods in specialised stores (not commercial art galleries and opticians)
1938,NI027297,BSGL1963 LIMITED,30.0,4.0,0.0,26.0,2,2,46420 - Wholesale of clothing and footwear
1939,06879914,BSL REALISATIONS (2013) LIMITED,2.0,1.0,0.0,1.0,4,1,43999 - Other specialised construction activities n.e.c.
1940,03007892,BSL REALISATIONS 2011 LIMITED,15.0,6.0,0.0,9.0,2,1,4525 - Other special trades construction
1941,03289197,BSR PIPELINE SERVICES LIMITED,0.0,0.0,0.0,0.0,0,1,32990 - Other manufacturing n.e.c.
1942,00077318,BSR THREE LIMITED,0.0,0.0,0.0,0.0,0,1,None Supplied
1943,04109632,BT CENTRE NOMINEE 2 LIMITED,0.0,0.0,0.0,0.0,1,1,68100 - Buying and selling of own real estate
1944,08440701,BT CORNWALL LIMITED,0.0,0.0,0.0,0.0,0,1,62090 - Other information technology service activities
1945,04054291,BT FACILITIES SERVICES LIMITED,0.0,0.0,0.0,0.0,1,1,82990 - Other business support service activities n.e.c.
1946,05829739,BT LGS LIMITED,0.0,0.0,0.0,0.0,0,1,78200 - Temporary employment agency activities
1947,06423121,BT MANAGED SERVICES LIMITED,0.0,0.0,0.0,0.0,0,1,61900 - Other telecommunications activities
1948,06656934,BT SOUTH TYNESIDE LIMITED,0.0,0.0,0.0,0.0,0,1,61900 - Other telecommunications activities
1949,01173050,BTN TURBO CHARGER SERVICE LIMITED,6.0,0.0,0.0,6.0,0,1,45310 - Wholesale trade of motor vehicle parts and accessories
1950,08353197,BUCKINGHAMSHIRE LEARNING TRUST,0.0,0.0,0.0,0.0,0,1,85600 - Educational support services
1951,01028802,BUDWORTH PROPERTIES LIMITED,5.0,0.0,0.0,5.0,0,1,41100 - Development of building projects
1952,00514531,BUELL LIMITED,0.0,0.0,0.0,0.0,0,1,None Supplied
1953,02925744,BUHLER LIMITED,0.0,0.0,0.0,0.0,0,1,"28930 - Manufacture of machinery for food, beverage and tobacco processing"
1954,10780765,BUILDING ENERGY LTD,1.0,0.0,0.0,1.0,0,1,64209 - Activities of other holding companies n.e.c.
1955,01171275,BUILDING PRODUCT RESOURCES LIMITED,3.0,0.0,0.0,3.0,0,1,2051 - Manufacture of other products of wood
1956,06470095,BUILDTRUE (2008) LIMITED,9.0,6.0,0.0,3.0,1,1,96090 - Other service activities n.e.c.
1957,03472784,BUK (REALISATIONS) LIMITED,4.0,2.0,0.0,2.0,1,1,47721 - Retail sale of footwear in specialised stores
1958,00070170,BULK OIL CONTAINERS LIMITED,0.0,0.0,0.0,0.0,2,3,2320 - Manufacture of refined petroleum products
1959,06713936,BUMPER 3 FINANCE HOLDINGS LIMITED,0.0,0.0,0.0,0.0,0,1,70100 - Activities of head offices
1960,06713947,BUMPER 3 FINANCE PLC,1.0,0.0,0.0,1.0,0,1,82990 - Other business support service activities n.e.c.
1961,10246705,BUMPER 8 (UK) FINANCE PLC,1.0,0.0,0.0,1.0,0,1,64999 - Financial intermediation not elsewhere classified
1962,08907182,BUR TRADING OPCO REALISATIONS LIMITED,0.0,0.0,0.0,0.0,1,2,47710 - Retail sale of clothing in specialised stores
1963,09274735,BURAQ RETAIL NO 2 LIMITED,1.0,1.0,0.0,0.0,2,1,56102 - Unlicensed restaurants and cafes
1964,00399970,"BURDETT OPTICAL CO.,LIMITED",4.0,3.0,0.0,1.0,0,1,2524 - Manufacture of other plastic products
1965,04883010,BURFORD EPSILON,3.0,0.0,0.0,3.0,2,1,82990 - Other business support service activities n.e.c.
1966,04191021,BURFORD TREASURY LIMITED,0.0,0.0,0.0,0.0,0,1,82990 - Other business support service activities n.e.c.
1967,02073962,BURNS-ANDERSON LIMITED,3.0,0.0,0.0,3.0,1,1,66190 - Activities auxiliary to financial intermediation n.e.c.
1968,SC213282,BURNTISLAND FABRICATIONS LIMITED,2.0,2.0,0.0,0.0,0,2,25610 - Treatment and coating of metals
1969,03081307,BURRSWOOD LIMITED,0.0,0.0,0.0,0.0,0,4,47190 - Other retail sale in non-specialised stores
1970,00599707,BURWELL REED AND KINGHORN LIMITED,14.0,3.0,0.0,11.0,0,1,2852 - General mechanical engineering
1971,00053268,BURY FOOTBALL CLUB COMPANY LIMITED(THE),34.0,3.0,0.0,31.0,0,1,93120 - Activities of sport clubs
1972,04956194,BUSABA EATHAI LIMITED,18.0,4.0,0.0,14.0,1,1,56101 - Licensed restaurants
1973,02489131,BUSINESS DATABASE PUBLISHING LIMITED,0.0,0.0,0.0,0.0,0,1,7487 - Other business activities
1974,04023983,BUSINESS LINK NOTTINGHAMSHIRE,1.0,0.0,0.0,1.0,0,1,7414 - Business & management consultancy
1975,NI053260,BUSINESS PUBLICATION COMPANY (N.I.) LIMITED,0.0,0.0,0.0,0.0,0,1,None Supplied
1976,03525461,BUTTON SYSTEMS LIMITED,0.0,0.0,0.0,0.0,0,1,7220 - Software consultancy and supply
1977,00801616,BUZZ ENTERTAINMENT LIMITED,58.0,5.0,0.0,53.0,2,1,70100 - Activities of head offices
1978,00794943,BUZZ GROUP LIMITED,72.0,14.0,0.0,58.0,1,1,92000 - Gambling and betting activities
1979,00043026,BWFC2019 LIMITED,61.0,9.0,0.0,52.0,1,1,93110 - Operation of sports facilities
1980,07228130,BYRON HAMBURGERS LIMITED,10.0,1.0,0.0,9.0,0,1,56101 - Licensed restaurants
1981,00693104,C M N (LONDON) LIMITED,4.0,1.0,0.0,3.0,0,2,2811 - Manufacture metal structures & parts
1982,SC080416,C M PRINTING LIMITED,1.0,1.0,0.0,0.0,0,3,2123 - Manufacture of paper stationery
1983,02014305,C REALISATIONS LIMITED,5.0,3.0,0.0,2.0,1,1,7484 - Other business activities
1984,00482552,C WALKER & SONS LIMITED,6.0,0.0,0.0,6.0,0,1,70100 - Activities of head offices
1985,00141015,C. & J. CLARK INTERNATIONAL LIMITED,6.0,5.0,0.0,1.0,0,1,47721 - Retail sale of footwear in specialised stores
1986,SC107732,C. & S. (LIFE & PENSIONS) LIMITED,0.0,0.0,0.0,0.0,0,1,6601 - Life insurance/reinsurance
1987,00238057,C.D.L.CONSTRUCTION COMPANY LIMITED,17.0,0.0,0.0,17.0,0,1,4521 - Gen construction & civil engineer
1988,00741079,C.E.M.PRESS LIMITED,5.0,2.0,0.0,3.0,0,1,18129 - Printing n.e.c.
1989,02182540,C.F. (PLASTICS & WASTE PRODUCTS) LTD.,0.0,0.0,0.0,0.0,0,1,9261 - Operate sports arenas & stadiums
1990,00316741,C.H.LINDSEY & SON LIMITED,3.0,1.0,0.0,2.0,0,1,"43220 - Plumbing, heat and air-conditioning installation"
1991,01146611,C.J. BROOM & SONS LIMITED,12.0,8.0,0.0,4.0,0,2,3512 - Build & repair pleasure & sport boats
1992,00715498,C.J.PRYOR(PLANT)LIMITED,21.0,4.0,0.0,17.0,0,1,77320 - Renting and leasing of construction and civil engineering machinery and equipment
1993,01569634,C.L.C REALISATIONS LIMITED,19.0,6.0,0.0,13.0,3,1,81210 - General cleaning of buildings
1994,01104844,C.S. BEARD & SON (HEATING) LIMITED,1.0,1.0,0.0,0.0,0,1,None Supplied
1995,02783098,C.S. FURNITURE LIMITED,6.0,1.0,0.0,5.0,0,1,3663 - Other manufacturing
1996,02001576,C1 REALISATIONS (2020) LIMITED,9.0,2.0,0.0,7.0,1,3,"46380 - Wholesale of other food, including fish, crustaceans and molluscs"
1997,03296835,CABLE REALISATIONS LIMITED,0.0,0.0,0.0,0.0,1,1,26301 - Manufacture of telegraph and telephone apparatus and equipment
1998,00587061,CABLEJUDGE (NORTH EAST),2.0,0.0,0.0,2.0,0,1,"2954 - Manufacture for textile, apparel & leather"
1999,03159445,CABLEZOOM LIMITED,1.0,1.0,0.0,0.0,0,1,6024 - Freight transport by road
2000,07397292,CADBURY RUSSIA TWO LIMITED,0.0,0.0,0.0,0.0,0,1,70100 - Activities of head offices
2001,SC095803,CADMASTERS LIMITED,1.0,1.0,0.0,0.0,0,4,7210 - Hardware consultancy
2002,07263921,CAF REALISATIONS LIMITED,3.0,1.0,0.0,2.0,1,1,62020 - Information technology consultancy activities
2003,SC163623,CAIRN HOMES LIMITED,1.0,0.0,0.0,1.0,0,2,7011 - Development & sell real estate
2004,08050202,CAKE TECHNOLOGIES LTD,0.0,0.0,0.0,0.0,1,1,62090 - Other information technology service activities
2005,SC289224,CALA PROPERTIES (HOLDINGS) LIMITED,6.0,0.0,0.0,6.0,1,1,74990 - Non-trading company
2006,OC348754,CALAMOS INVESTMENTS LLP,0.0,0.0,0.0,0.0,1,1,None Supplied
2007,07543971,CALCHAN HOLDINGS LIMITED,0.0,0.0,0.0,0.0,1,1,72110 - Research and experimental development on biotechnology
2008,06576230,CALDEIRA RETAIL LIMITED,3.0,3.0,0.0,0.0,0,1,47510 - Retail sale of textiles in specialised stores
2009,02478087,CALDER AIR DISTRIBUTION ENGINEERING LIMITED,0.0,0.0,0.0,0.0,0,1,4533 - Plumbing
2010,10096482,CALDER NEWCO LIMITED,5.0,0.0,0.0,5.0,1,1,75000 - Veterinary activities
2011,07531527,CALDER VETS LIMITED,11.0,0.0,0.0,11.0,0,1,75000 - Veterinary activities
2012,00597216,CALDERBURN LIMITED,9.0,1.0,0.0,8.0,0,1,7415 - Holding Companies including Head Offices
2013,04423789,CALDERPRINT LIMITED,7.0,6.0,0.0,1.0,0,1,18129 - Printing n.e.c.
2014,09163577,CALEDONIA OFFSHORE DRILLING SERVICES LIMITED,0.0,0.0,0.0,0.0,0,1,09100 - Support activities for petroleum and natural gas extraction
2015,SC428853,CALEDONIAN TRUCK & VAN LIMITED,3.0,2.0,0.0,1.0,0,1,45190 - Sale of other motor vehicles
2016,04834010,CALL CONNECTION LIMITED,2.0,2.0,0.0,0.0,0,3,66190 - Activities auxiliary to financial intermediation n.e.c.
2017,02721750,CALL PRINT SERVICES LTD,2.0,0.0,0.0,2.0,0,1,18129 - Printing n.e.c.
2018,03100525,CALL PRINT UK LIMITED,2.0,0.0,0.0,2.0,1,1,64209 - Activities of other holding companies n.e.c.
2019,08249830,CALON ENERGY (BAGLAN BAY) LIMITED,6.0,3.0,0.0,3.0,2,1,70100 - Activities of head offices
2020,08786682,CALON ENERGY (SEVERN) LIMITED,7.0,3.0,0.0,4.0,1,1,70100 - Activities of head offices
2021,08296825,CALON ENERGY (SUTTON BRIDGE) LIMITED,8.0,3.0,0.0,5.0,2,1,70100 - Activities of head offices
2022,00981301,CALSONIC KANSEI SUNDERLAND LIMITED,3.0,3.0,0.0,0.0,1,1,29320 - Manufacture of other parts and accessories for motor vehicles
2023,01318387,CALVERLEY'S TIMBER PRODUCTS LIMITED,2.0,2.0,0.0,0.0,0,1,3611 - Manufacture of chairs and seats
