,CompanyNumber,CompanyName,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,numberPrevNameChanges,NumberOfIndustires,PrimaryIndustry,date_of_insolvency_filing,auditors_resignations,director_terminations,secretaries_appointed,secretaries_terminated,directors_appointed
1437,00930412,ANFIELD 2 LIMITED,0.0,0.0,0.0,0.0,1,1,7499 - Non-trading company,2013-08-22,0,0,0,0,0
1438,03838267,ANGEL (LONDON) LIMITED,5.0,1.0,0.0,4.0,2,1,68209 - Other letting and operating of own or leased real estate,2015-12-30,0,0,0,0,0
1439,03463356,ANGEL ESTATES LIMITED,1.0,1.0,0.0,0.0,1,1,68209 - Other letting and operating of own or leased real estate,2016-01-06,0,0,0,0,0
1440,03837423,ANGEL HEIGHTS (NEWCASTLE) LIMITED,9.0,2.0,0.0,7.0,0,1,68209 - Other letting and operating of own or leased real estate,2016-01-08,0,0,0,0,0
1441,03367736,ANGEL HEIGHTS DEVELOPMENTS LIMITED,428.0,314.0,0.0,114.0,0,1,68209 - Other letting and operating of own or leased real estate,2016-01-06,0,0,0,0,0
1442,06191678,ANGEL HOUSE DEVELOPMENTS LIMITED,2.0,2.0,0.0,0.0,1,1,68209 - Other letting and operating of own or leased real estate,2014-09-08,0,0,0,0,0
1443,05068878,ANGEL PROPERTY (HULLER) LIMITED,6.0,4.0,0.0,2.0,0,1,7011 - Development & sell real estate,2010-10-26,0,0,0,0,0
1444,03447145,ANGEL PROPERTY TRADING SERVICES LIMITED,2.0,2.0,0.0,0.0,0,1,9305 - Other service activities n.e.c.,2010-05-13,0,0,0,0,0
1445,04005811,ANGEL SERVICES (UK) LIMITED,5.0,1.0,0.0,4.0,0,1,68209 - Other letting and operating of own or leased real estate,2016-01-06,0,0,0,0,0
1446,04154320,ANGEL WAKEFIELD LIMITED,8.0,2.0,0.0,6.0,0,1,68209 - Other letting and operating of own or leased real estate,2016-01-06,0,0,0,0,0
1447,SC255869,BATHGATE REALISATIONS PLANT LIMITED,13.0,12.0,0.0,1.0,2,1,43999 - Other specialised construction activities n.e.c.,2016-07-26,0,2,0,0,3
1448,02360000,BATTLEDOWN INVESTMENTS LIMITED,2.0,2.0,0.0,0.0,0,1,None Supplied,1993-05-13,0,0,0,0,0
1449,10840785,BAVARIAN SKY UK 1 PLC,3.0,3.0,0.0,0.0,0,1,82990 - Other business support service activities n.e.c.,2021-02-02,0,0,0,0,0
1450,05666106,BAWTRY CARBON INTERNATIONAL LIMITED,8.0,4.0,0.0,4.0,1,1,32990 - Other manufacturing n.e.c.,2019-09-26,0,3,0,1,5
1451,05021021,BBC SUPERFACTORS LTD,4.0,0.0,0.0,4.0,1,1,45310 - Wholesale trade of motor vehicle parts and accessories,2018-10-19,0,9,0,1,3
1452,04649808,BBP BANDENIA PLC,0.0,0.0,0.0,0.0,2,4,64205 - Activities of financial services holding companies,2020-06-16,0,2,0,0,9
1453,05517750,BC GLOBAL SERVICES LIMITED,2.0,2.0,0.0,0.0,1,1,82990 - Other business support service activities n.e.c.,2019-10-14,0,1,0,0,0
1454,02897492,BC REALISATIONS 2015 LIMITED,8.0,5.0,0.0,3.0,1,1,"27110 - Manufacture of electric motors, generators and transformers",2015-10-15,0,3,1,1,2
1455,04464946,BD PROPCO REALISATIONS LIMITED,0.0,0.0,0.0,0.0,2,2,68100 - Buying and selling of own real estate,2020-12-10,0,4,0,0,0
1456,03737732,BDA CREATIVE LIMITED,6.0,6.0,0.0,0.0,1,2,59113 - Television programme production activities,2014-08-07,0,0,0,0,0
1457,03496157,BEACHAM WHITEHEAD HOLDINGS LIMITED,3.0,2.0,0.0,1.0,0,1,99999 - Dormant Company,2020-10-12,0,1,0,0,0
1458,03632000,BEAMISH TRANSPORT LIMITED,9.0,7.0,0.0,2.0,0,1,49410 - Freight transport by road,2019-03-25,0,1,0,0,0
1459,07616777,BEAMLY LIMITED,2.0,0.0,0.0,2.0,2,1,62011 - Ready-made interactive leisure and entertainment software development,2020-10-02,0,2,0,0,1
1460,08504930,BEAMRIDGE LTD,0.0,0.0,0.0,0.0,1,1,43999 - Other specialised construction activities n.e.c.,2019-08-01,0,4,0,0,4
1461,01222212,BEARDSLEY REALISATIONS 1 LIMITED,7.0,0.0,0.0,7.0,3,1,82990 - Other business support service activities n.e.c.,2020-12-01,0,2,0,0,0
1462,05254756,BEARDSLEY REALISATIONS 2 LIMITED,2.0,0.0,0.0,2.0,1,1,71200 - Technical testing and analysis,2020-05-18,0,1,0,0,0
1463,05346120,BEATTHATQUOTE.COM LIMITED,3.0,1.0,0.0,2.0,1,1,64999 - Financial intermediation not elsewhere classified,2019-09-20,0,5,0,0,3
1464,06637499,BEAUFORT ASSET CLEARING SERVICES LIMITED,3.0,0.0,0.0,3.0,1,1,64999 - Financial intermediation not elsewhere classified,2018-03-22,0,1,0,0,0
1465,07596413,BECAP SPICERS (UK) LIMITED,8.0,5.0,0.0,3.0,2,1,70100 - Activities of head offices,2020-09-17,0,2,0,0,2
1466,02613524,BEDFORDS LIMITED,8.0,3.0,0.0,4.0,0,1,49410 - Freight transport by road,2019-04-12,0,1,0,0,0
1467,03560660,BEHRENS CONSTRUCTION AND RENOVATION LIMITED,0.0,0.0,0.0,0.0,0,1,4521 - Gen construction & civil engineer,2002-04-24,0,0,0,0,0
1468,SC242525,BEINN MHOR POWER LIMITED,0.0,0.0,0.0,0.0,1,2,35110 - Production of electricity,2014-10-10,0,0,0,0,0
1469,04919848,BEKAERT LIMITED,0.0,0.0,0.0,0.0,0,3,46130 - Agents involved in the sale of timber and building materials,2018-10-11,0,0,0,0,0
1470,03409071,BEKITECH CONSULTANCY LIMITED,0.0,0.0,0.0,0.0,0,1,7487 - Other business activities,2000-06-01,0,0,0,0,0
1471,00165351,BELDAM LASCAR SEALS LIMITED,1.0,1.0,0.0,0.0,0,1,3663 - Other manufacturing,2009-08-17,0,0,0,0,0
1472,01539189,BELL & HARWOOD LIMITED,0.0,0.0,0.0,0.0,0,1,74990 - Non-trading company,2019-10-08,0,0,0,0,0
1473,OC380478,BELL POTTINGER LLP,2.0,1.0,0.0,1.0,0,1,None Supplied,2019-09-27,0,0,0,0,0
1474,00964194,BELLA REALISATIONS 2 LIMITED,35.0,4.0,0.0,31.0,2,1,56101 - Licensed restaurants,2020-07-14,0,2,0,1,2
1475,08377707,BELLS SHOES LIMITED,0.0,0.0,0.0,0.0,0,1,47721 - Retail sale of footwear in specialised stores,2018-11-15,0,1,0,0,0
1476,03901980,BELTON WOODS HOTEL LIMITED,7.0,0.0,0.0,7.0,1,1,68209 - Other letting and operating of own or leased real estate,2018-07-28,0,4,0,0,2
1477,07429989,BELTON WOODS HOTEL TRADING LIMITED,7.0,0.0,0.0,7.0,0,1,55100 - Hotels and similar accommodation,2018-07-28,0,4,0,0,2
1478,08884622,BELVAR LIFE (UK) LIMITED,0.0,0.0,0.0,0.0,1,1,55100 - Hotels and similar accommodation,2020-10-22,0,0,0,0,1
1479,07855650,BEMUS CONSTRUCTION SERVICES LIMITED,0.0,0.0,0.0,0.0,0,1,43290 - Other construction installation,2020-11-10,0,1,0,0,1
1480,04787106,BENCH LIMITED,25.0,9.0,0.0,16.0,4,2,46420 - Wholesale of clothing and footwear,2018-05-30,0,3,0,0,2
1481,01485935,BENNETT & CUNNINGHAM LIMITED,5.0,2.0,0.0,3.0,0,1,4521 - Gen construction & civil engineer,2000-12-15,0,0,0,0,0
1482,00356470,BENSON BROS (BRISTOL) LIMITED,15.0,4.0,0.0,11.0,0,3,41100 - Development of building projects,2018-03-29,0,2,0,0,1
1483,00654903,BENSON MIDLANDS LIMITED,4.0,1.0,0.0,3.0,0,1,4521 - Gen construction & civil engineer,2005-02-09,0,0,0,0,0
1484,03650449,BENTALL ROWLANDS STORAGE SYSTEMS LIMITED,7.0,2.0,0.0,5.0,1,1,"28930 - Manufacture of machinery for food, beverage and tobacco processing",2019-09-05,0,1,1,1,0
1485,01506327,BENTLEY WOOD LIMITED,5.0,1.0,0.0,4.0,1,1,4525 - Other special trades construction,2011-06-24,0,0,0,0,0
1486,02723304,BEOVAX COMPUTER SERVICES LIMITED,2.0,0.0,0.0,2.0,0,4,61100 - Wired telecommunications activities,2020-09-02,0,2,0,0,1
1487,00963045,BERFORTS INFORMATION PRESS LIMITED,10.0,3.0,0.0,7.0,1,1,18129 - Printing n.e.c.,2015-09-18,1,2,0,1,0
1488,01713679,BERKELEY FINANCIAL SERVICES LTD,1.0,1.0,0.0,0.0,0,1,7487 - Other business activities,1997-03-05,0,0,0,0,0
1489,00118377,BERKSHIRE PRINTING COMPANY LIMITED,7.0,0.0,0.0,7.0,0,1,"2121 - Manufacture of cartons, boxes & cases of corrugated paper & paperboard",2011-03-07,0,0,0,0,0
1490,06608400,BERRY & COOPER LIMITED,1.0,1.0,0.0,0.0,2,1,64999 - Financial intermediation not elsewhere classified,2017-11-08,0,2,0,1,1
1491,10285769,BERTRAM GROUP LIMITED,3.0,2.0,0.0,1.0,1,1,64209 - Activities of other holding companies n.e.c.,2021-06-21,0,2,0,0,1
1492,06849888,BERTRAM TRADING LIMITED,4.0,1.0,0.0,3.0,1,1,46900 - Non-specialised wholesale trade,2020-07-02,0,3,0,0,3
1493,09866349,BESINS HEALTHCARE PHARMA SERVICES LIMITED,0.0,0.0,0.0,0.0,0,1,"74909 - Other professional, scientific and technical activities n.e.c.",2019-07-18,0,1,0,0,0
1494,07355680,BEST ASSET MANAGEMENT LTD,0.0,0.0,0.0,0.0,0,1,64999 - Financial intermediation not elsewhere classified,2019-12-23,0,0,0,0,0
1495,09473810,BEST EMPLOYMENT SERVICES LIMITED,0.0,0.0,0.0,0.0,0,1,82990 - Other business support service activities n.e.c.,2019-04-02,1,0,0,0,0
1496,05713064,BEST VALUE FINANCIAL SERVICES LIMITED,0.0,0.0,0.0,0.0,0,1,82990 - Other business support service activities n.e.c.,2018-09-24,0,3,0,0,1
1497,01559593,BETA RESEARCH & DEVELOPMENT LIMITED,6.0,0.0,0.0,6.0,0,1,72190 - Other research and experimental development on natural sciences and engineering,2019-04-19,0,1,0,0,1
1498,05103296,BETTERLIFEHEALTHCARE LIMITED,1.0,0.0,0.0,1.0,0,1,47749 - Retail sale of medical and orthopaedic goods in specialised stores (not incl. hearing aids) n.e.c.,2021-05-04,0,5,0,0,2
1499,07962214,BETTERWARE LIMITED,2.0,1.0,0.0,1.0,1,1,"47990 - Other retail sale not in stores, stalls or markets",2018-04-30,0,6,0,0,4
1500,03604416,BEVELYNN LIMITED,11.0,2.0,0.0,9.0,0,1,"74909 - Other professional, scientific and technical activities n.e.c.",2013-10-22,0,0,0,0,0
1501,02673742,BF REALISATIONS LIMITED,5.0,2.0,0.0,3.0,5,1,"47599 - Retail of furniture, lighting, and similar (not musical instruments or scores) in specialised store",2020-07-27,0,2,0,0,1
1502,SC174585,BG FABRICATION LIMITED,1.0,1.0,0.0,0.0,0,1,2852 - General mechanical engineering,2001-05-09,0,0,0,0,0
1503,04785802,BG KARACHAGANAK TRADING LIMITED,0.0,0.0,0.0,0.0,0,1,06100 - Extraction of crude petroleum,2020-08-28,0,2,0,0,1
1504,05528591,BGPH LIMITED,10.0,0.0,0.0,10.0,1,1,70100 - Activities of head offices,2020-12-30,0,0,0,0,0
1505,00559455,BHH (BROOKFIELD) LIMITED,10.0,0.0,0.0,10.0,1,1,7415 - Holding Companies including Head Offices,2009-05-29,0,0,0,0,0
1506,01133088,BHL WOODWORKING LIMITED,4.0,4.0,0.0,0.0,0,1,3614 - Manufacture of other furniture,1996-04-09,0,0,0,0,0
1507,03858895,BHS GROUP LIMITED,5.0,1.0,0.0,4.0,0,1,82990 - Other business support service activities n.e.c.,2016-05-09,0,5,1,1,6
1508,00801199,BHW (COMPONENTS) LIMITED,9.0,3.0,0.0,6.0,0,1,30300 - Manufacture of air and spacecraft and related machinery,2013-04-10,0,0,0,0,0
1509,OC384503,BI-INVEST GP LLP,2.0,0.0,0.0,2.0,0,1,None Supplied,2021-06-17,0,0,0,0,0
1510,03408060,BIBBY HYDROMAP LIMITED,24.0,0.0,0.0,24.0,1,2,09100 - Support activities for petroleum and natural gas extraction,2020-04-22,0,4,0,0,2
1511,00550280,BICKNELL CONSTRUCTION LIMITED,2.0,0.0,0.0,2.0,0,1,4521 - Gen construction & civil engineer,2008-11-01,0,0,0,0,0
1512,08469643,BIG RED GROUP LTD,2.0,2.0,0.0,0.0,0,3,47910 - Retail sale via mail order houses or via Internet,2018-02-06,0,1,0,0,0
1513,07528605,BIG RED TOOLBOX LIMITED,3.0,2.0,0.0,1.0,0,1,47910 - Retail sale via mail order houses or via Internet,2018-02-16,0,1,0,0,0
1514,07140460,BIG SCREEN PRODUCTIONS 14 IM LIMITED,4.0,4.0,0.0,0.0,0,1,82990 - Other business support service activities n.e.c.,2019-01-15,0,0,1,1,0
1515,02708273,BILSTON (EO & C) TRAINING LIMITED,0.0,0.0,0.0,0.0,0,1,8042 - Adult and other education,2002-08-20,0,0,0,0,0
1516,00297764,BILSTON SHEET METAL WORKERS LIMITED,4.0,0.0,0.0,4.0,0,4,2811 - Manufacture metal structures & parts,2002-04-10,0,0,0,0,0
1517,02343303,BIOCONTROL SYSTEMS LIMITED,0.0,0.0,0.0,0.0,3,1,46900 - Non-specialised wholesale trade,2021-01-11,0,0,0,0,0
1518,01917509,BIOMET ACQUISITIONS,0.0,0.0,0.0,0.0,2,1,70100 - Activities of head offices,2018-10-24,0,1,1,0,1
1519,11346126,BIRDHOUSE RETAIL LIMITED,0.0,0.0,0.0,0.0,0,1,56290 - Other food services,2021-03-16,0,5,0,1,3
1520,04384118,BIRDWIN PROPERTIES LIMITED,2.0,2.0,0.0,0.0,0,1,7011 - Development & sell real estate,2011-11-29,0,0,0,0,0
1521,03333890,BIRLEY'S LIMITED,16.0,15.0,0.0,1.0,0,1,56210 - Event catering activities,2020-12-10,0,1,0,0,1
1522,10831781,BIRMINGHAM CROSSWAYS HOUSE CENTRE LIMITED,3.0,3.0,0.0,0.0,1,1,68209 - Other letting and operating of own or leased real estate,2021-06-15,0,1,0,0,1
1523,04173542,BIRMINGHAM LAW CENTRE,0.0,0.0,0.0,0.0,1,1,69102 - Solicitors,2013-08-09,0,0,0,0,0
1524,02290360,BIRMINGHAM MIDSHIRES MORTGAGE SERVICES LIMITED,0.0,0.0,0.0,0.0,0,2,74990 - Non-trading company,2019-10-09,0,0,0,0,0
1525,00629982,BIRSTALL FOUNDRY COMPANY LIMITED,7.0,4.0,0.0,3.0,0,2,2745 - Other non-ferrous metal production,2004-05-18,0,0,0,0,0
1526,00860924,BISHOP'S MOVE LIMITED,5.0,5.0,0.0,0.0,1,1,49420 - Removal services,2020-09-10,0,0,0,0,0
1527,05183090,BISHOPSGATE PREMIER FINANCE PLC,4.0,0.0,0.0,4.0,1,1,82990 - Other business support service activities n.e.c.,2019-03-14,0,1,0,0,1
1528,05183100,BISHOPSGATE PREMIER INTERMEDIATE HOLDINGS LIMITED,4.0,0.0,0.0,4.0,1,1,82990 - Other business support service activities n.e.c.,2020-11-14,0,0,0,0,0
1529,08806631,BISNEY REALISATIONS LIMITED,7.0,7.0,0.0,0.0,2,1,82990 - Other business support service activities n.e.c.,2020-03-16,0,1,0,0,0
1530,02238517,BLACK & DECKER BATTERIES MANAGEMENT LIMITED,0.0,0.0,0.0,0.0,0,1,74990 - Non-trading company,2015-11-02,0,3,0,0,1
1531,09055160,BLACKBROOK ASSET MANAGEMENT LTD,0.0,0.0,0.0,0.0,1,1,64999 - Financial intermediation not elsewhere classified,2020-03-17,0,0,0,0,0
1532,SC150528,BLACKFINCH LIMITED,1.0,1.0,0.0,0.0,0,3,3614 - Manufacture of other furniture,1997-09-05,0,0,0,0,0
1533,00730711,BLACKPOOL AUTOMOTIVE LIMITED,15.0,0.0,0.0,15.0,2,1,3410 - Manufacture of motor vehicles,2007-01-08,1,0,0,0,0
1534,02506338,BLAKEDOWN LANDSCAPES (OPERATIONS) LIMITED,10.0,8.0,0.0,2.0,1,1,42990 - Construction of other civil engineering projects n.e.c.,2016-06-29,0,0,1,1,0
1535,02495894,BLAMPIED & PARTNERS LIMITED,0.0,0.0,0.0,0.0,0,1,71129 - Other engineering activities,2017-07-07,0,1,0,0,1
1536,07687152,BLAVO & CO. SOLICITORS LIMITED,3.0,1.0,0.0,2.0,0,1,69102 - Solicitors,2016-01-04,0,12,0,0,0
1537,01026800,BLAWHURST LIMITED,70.0,3.0,0.0,67.0,0,1,5510 - Hotels & motels with or without restaurant,2009-11-26,0,0,0,0,0
1538,04958145,BLITZ COMMUNICATIONS GROUP LIMITED,5.0,1.0,0.0,4.0,2,1,70100 - Activities of head offices,2021-06-10,0,1,0,0,0
1539,02595358,BLITZ COMMUNICATIONS LIMITED,7.0,1.0,0.0,6.0,0,1,96090 - Other service activities n.e.c.,2020-09-30,0,2,1,1,1
1540,04065120,BLOOMSBURY BIOSEED FUND LIMITED,0.0,0.0,0.0,0.0,0,1,"74909 - Other professional, scientific and technical activities n.e.c.",2020-04-01,0,1,0,0,1
1541,OC361858,BLUE CO LONDON LLP,0.0,0.0,0.0,0.0,1,1,None Supplied,2019-01-25,0,0,0,0,0
1542,08431253,BLUE GROUP UK BEDS LIMITED,3.0,2.0,0.0,1.0,1,1,31030 - Manufacture of mattresses,2020-07-15,0,5,0,0,2
1543,09097152,BLUE INC (UK) LIMITED,4.0,4.0,0.0,0.0,0,1,47710 - Retail sale of clothing in specialised stores,2019-01-08,0,5,0,0,3
1544,03030522,BLUE INTERNATIONAL SERVICES LIMITED,0.0,0.0,0.0,0.0,1,1,70100 - Activities of head offices,2019-01-18,0,0,0,0,0
1545,02950050,BLUE SEA OVERSEAS INVESTMENTS LIMITED,0.0,0.0,0.0,0.0,0,1,82990 - Other business support service activities n.e.c.,2019-10-07,0,2,0,0,2
1546,03532497,BLUEZONE GLOBAL LIMITED,5.0,0.0,0.0,5.0,2,4,46420 - Wholesale of clothing and footwear,2018-03-20,0,0,0,0,0
1547,OC393670,BLYTH ROAD LLP,1.0,0.0,0.0,1.0,0,1,None Supplied,2021-06-03,0,0,0,0,0
1548,10803858,BLYTHWOOD NEWCO LIMITED,0.0,0.0,0.0,0.0,1,1,75000 - Veterinary activities,2020-11-02,0,2,0,0,2
1549,03359085,BMS SUPERFACTORS LIMITED,1.0,0.0,0.0,1.0,0,1,74990 - Non-trading company,2018-10-24,0,5,1,1,3
1550,08635046,BMT SMART LIMITED,0.0,0.0,0.0,0.0,0,2,52220 - Service activities incidental to water transportation,2019-09-12,0,2,0,1,1
1551,00282060,BMW CREDIT LIMITED,4.0,1.0,0.0,3.0,1,1,7499 - Non-trading company,2009-12-30,0,0,0,0,0
1552,02106892,BNP PARIBAS U.K. HOLDINGS LIMITED,0.0,0.0,0.0,0.0,0,1,64205 - Activities of financial services holding companies,2020-10-12,0,14,0,1,3
1553,03766757,BNY MELLON CAPITAL MARKETS EMEA LIMITED,8.0,0.0,0.0,8.0,3,1,64999 - Financial intermediation not elsewhere classified,2020-06-12,0,2,0,0,1
1554,04544271,BOARDRIDERS UK LTD,5.0,3.0,0.0,2.0,1,3,47510 - Retail sale of textiles in specialised stores,2020-08-20,0,2,1,1,2
1555,08063845,BOARDVANTAGE (UK) LIMITED,0.0,0.0,0.0,0.0,0,1,96090 - Other service activities n.e.c.,2020-06-23,0,0,0,0,0
1556,OC424805,BOILER HOUSE DEVELOPMENT 2 LLP,0.0,0.0,0.0,0.0,0,1,None Supplied,2021-06-02,0,0,0,0,0
1557,OC411756,BOILER HOUSE DEVELOPMENT LLP,2.0,0.0,0.0,2.0,0,1,None Supplied,2021-06-01,0,0,0,0,0
1558,02784909,BOLD ADVERTISING SERVICES LIMITED,17.0,7.0,0.0,10.0,1,1,70229 - Management consultancy activities other than financial management,2020-12-12,0,3,2,0,4
1559,00789858,BOLT AND HEEKS LIMITED,5.0,2.0,0.0,3.0,0,1,41201 - Construction of commercial buildings,2018-12-17,0,2,0,0,2
1560,03674979,BOLTON WHITES HOTEL LIMITED,8.0,3.0,0.0,5.0,0,1,55100 - Hotels and similar accommodation,2019-06-03,0,5,0,0,2
1561,05035653,BOND AVIATION LEASING LIMITED,78.0,0.0,0.0,78.0,2,1,"77390 - Renting and leasing of other machinery, equipment and tangible goods n.e.c.",2020-12-31,0,5,0,0,5
1562,03968831,BONDS FOUNDRY COMPANY LIMITED,16.0,5.0,0.0,11.0,0,2,24520 - Casting of steel,2020-01-07,0,1,0,0,0
1563,10275527,BONDS HEAVY CASTINGS LIMITED,8.0,4.0,0.0,4.0,1,2,24510 - Casting of iron,2020-01-07,0,1,0,0,2
1564,06663688,BONDS PRECISION CASTINGS LIMITED,10.0,4.0,0.0,6.0,0,3,24510 - Casting of iron,2020-01-07,0,1,0,1,0
1565,02564888,BOON BUILDING SERVICES LTD,2.0,1.0,0.0,1.0,2,3,43210 - Electrical installation,2019-05-30,0,2,0,0,0
1566,01307584,BOOT TREE LIMITED(THE),7.0,2.0,0.0,5.0,0,1,47721 - Retail sale of footwear in specialised stores,2018-10-24,0,0,0,0,0
